date,point_spread,season_round,team,venue,win_odds
2018-03-29,9,Round 2,Richmond,Adelaide Oval,2.3
2018-03-30,-20,Round 2,St Kilda,Etihad Stadium,1.37
2018-03-31,14,Round 2,Gold Coast,Etihad Stadium,2.75
2018-03-31,-20,Round 2,GWS,MCG,1.38
2018-03-31,-12,Round 2,Essendon,Perth Stadium,1.54
2018-03-31,-19,Round 2,Melbourne,Gabba,1.38
2018-04-01,7,Round 2,West Coast,Etihad Stadium,2.15
2018-04-01,17,Round 2,Port Adelaide,SCG,3.05
2018-04-02,9,Round 2,Hawthorn,MCG,2.4
2018-04-06,-15,Round 3,Collingwood,MCG,1.48
2018-04-07,44,Round 3,Brisbane,Adelaide Oval,7.25
2018-04-07,31,Round 3,North Melbourne,MCG,4.35
2018-04-07,-19,Round 3,Fremantle,Perth Stadium,1.4
2018-04-07,-12,Round 3,Adelaide,Etihad Stadium,1.55
2018-04-07,11,Round 3,GWS,SCG,2.35
2018-04-08,13,Round 3,Hawthorn,MCG,2.5
2018-04-08,-8,Round 3,Geelong,Perth Stadium,1.65
2018-04-08,-12,Round 3,Essendon,Etihad Stadium,1.55
2018-03-22,31,Round 1,Carlton,MCG,5.0
2018-03-23,-3,Round 1,Adelaide,Etihad Stadium,1.85
2018-03-24,25,Round 1,Brisbane,Etihad Stadium,3.75
2018-03-24,28,Round 1,Fremantle,Adelaide Oval,4.1
2018-03-24,2,Round 1,North Melbourne,Cazaly's Stadium,1.95
2018-03-24,2,Round 1,Collingwood,MCG,1.95
2018-03-25,18,Round 1,Western Bulldogs,Manuka Oval,2.95
2018-03-25,1,Round 1,Geelong,MCG,1.92
2018-03-25,-18,Round 1,Sydney,Perth Stadium,1.4
2018-03-25,18,Round 1,West Coast,Perth Stadium,3.05
2018-03-25,-1,Round 1,Melbourne,MCG,1.92
2018-03-25,-18,Round 1,GWS,Manuka Oval,1.42
2018-03-24,-2,Round 1,Hawthorn,MCG,1.88
2018-03-24,-2,Round 1,Gold Coast,Cazaly's Stadium,1.88
2018-03-24,-28,Round 1,Port Adelaide,Adelaide Oval,1.25
2018-03-24,-25,Round 1,St Kilda,Etihad Stadium,1.29
2018-03-23,3,Round 1,Essendon,Etihad Stadium,2.0
2018-03-22,-31,Round 1,Richmond,MCG,1.19
2018-04-08,12,Round 3,Western Bulldogs,Etihad Stadium,2.35
2018-04-08,8,Round 3,West Coast,Perth Stadium,2.15
2018-04-08,-13,Round 3,Richmond,MCG,1.5
2018-04-07,-11,Round 3,Sydney,SCG,1.55
2018-04-07,12,Round 3,St Kilda,Etihad Stadium,2.35
2018-04-07,19,Round 3,Gold Coast,Perth Stadium,2.8
2018-04-07,-31,Round 3,Melbourne,MCG,1.19
2018-04-07,-44,Round 3,Port Adelaide,Adelaide Oval,1.07
2018-04-06,15,Round 3,Carlton,MCG,2.55
2018-04-02,-9,Round 2,Geelong,MCG,1.6
2018-04-01,-17,Round 2,Sydney,SCG,1.4
2018-04-01,-7,Round 2,Western Bulldogs,Etihad Stadium,1.73
2018-03-31,19,Round 2,Brisbane,Gabba,3.15
2018-03-31,12,Round 2,Fremantle,Perth Stadium,2.55
2018-03-31,20,Round 2,Collingwood,MCG,3.15
2018-03-31,-14,Round 2,Carlton,Etihad Stadium,1.47
2018-03-30,20,Round 2,North Melbourne,Etihad Stadium,3.2
2018-03-29,-9,Round 2,Adelaide,Adelaide Oval,1.65
